x,y
0.0,2.00
0.2,2.12
0.4,2.48
0.6,3.08
0.8,3.92
1.0,5.00
1.2,6.32
1.4,7.88
1.6,9.68
1.8,11.72
2.0,14.00
2.2,16.52
2.4,19.28
2.6,22.28
2.8,25.52
3.0,29.00
3.2,32.72
3.4,36.68
3.6,40.88
3.8,45.32
4.0,50.00
4.2,54.92
4.4,60.08
4.6,65.48
4.8,71.12
5.0,77.00
5.2,83.12
5.4,89.48
5.6,96.08
5.8,102.92
6.0,110.00
6.2,117.32
6.4,124.88
6.6,132.68
6.8,140.72
7.0,149.00
7.2,157.52
7.4,166.28
7.6,175.28
7.8,184.52
8.0,194.00
8.2,203.72
8.4,213.68
8.6,223.88
8.8,234.32
9.0,245.00
9.2,255.92
9.4,267.08
9.6,278.48
9.8,290.12
