x,y
-9.8,673.28
-9.6,646.12
-9.4,619.52
-9.2,593.48
-9.0,568.00
-8.8,543.08
-8.6,518.72
-8.4,494.92
-8.2,471.68
-8.0,449.00
-7.8,426.88
-7.6,405.32
-7.4,384.32
-7.2,363.88
-7.0,344.00
-6.8,324.68
-6.6,305.92
-6.4,287.72
-6.2,270.08
-6.0,253.00
-5.8,236.48
-5.6,220.52
-5.4,205.12
-5.2,190.28
-5.0,176.00
-4.8,162.28
-4.6,149.12
-4.4,136.52
-4.2,124.48
-4.0,113.00
-3.8,102.08
-3.6,91.72
-3.4,81.92
-3.2,72.68
-3.0,64.00
-2.8,55.88
-2.6,48.32
-2.4,41.32
-2.2,34.88
-2.0,29.00
-1.8,23.68
-1.6,18.92
-1.4,14.72
-1.2,11.08
-1.0,8.00
-0.8,5.48
-0.6,3.52
-0.4,2.12
-0.2,1.28
0.0,1.00
0.2,1.28
0.4,2.12
0.6,3.52
0.8,5.48
1.0,8.00
1.2,11.08
1.4,14.72
1.6,18.92
1.8,23.68
2.0,29.00
2.2,34.88
2.4,41.32
2.6,48.32
2.8,55.88
3.0,64.00
3.2,72.68
3.4,81.92
3.6,91.72
3.8,102.08
4.0,113.00
4.2,124.48
4.4,136.52
4.6,149.12
4.8,162.28
5.0,176.00
5.2,190.28
5.4,205.12
5.6,220.52
5.8,236.48
6.0,253.00
6.2,270.08
6.4,287.72
6.6,305.92
6.8,324.68
7.0,344.00
7.2,363.88
7.4,384.32
7.6,405.32
7.8,426.88
8.0,449.00
8.2,471.68
8.4,494.92
8.6,518.72
8.8,543.08
9.0,568.00
9.2,593.48
9.4,619.52
9.6,646.12
9.8,673.28
